"INGREDIENTECOMPOSTO","INGREDIENTEORIGINAL"
"Jal Jeera Powder","Cumin"
"Jal Jeera Powder","Ginger"
"Jal Jeera Powder","Mango"
"Jal Jeera Powder","Mentha"
"Jal Jeera Powder","Pepper (Spice)"
"Jal Jeera Powder","Plant"
"Jal Jeera Powder","Salt"
"Jal Jeera Powder","Unknown"
"Lobster","Lobster"
"Lobster","Spiny lobster"
"Mackerel","Atlantic mackerel"
"Mackerel","King mackerel"
"Mackerel","Pacific jack mackerel"
"Mackerel","Spanish mackerel"
"Mascarpone","Lemon"
"Mascarpone","Plain cream cheese"
"Mascarpone","Vinegar"
"Mayonnaise","Cooking oil"
"Mayonnaise","Eggs"
"Mayonnaise","Lemon"
"Mixed Vegetables","Carrot"
"Mixed Vegetables","Cauliflower"
"Mixed Vegetables","Common pea"
"Mixed Vegetables","Corn"
"Mixed Vegetables","Pepper (Capsicum)"
"Multigrain Bread","Flaxseed"
"Multigrain Bread","Multigrain bread"
"Multigrain Bread","Oat"
"Multigrain Bread","White bread"
"Oat Bread","Oat"
"Oat Bread","Oat bread"
"Oat Bread","White bread"
"Octopus","North Pacific giant octopus"
"Octopus","Octopus"
"Old Bay Seasoning","Allspice"
"Old Bay Seasoning","Cardamom"
"Old Bay Seasoning","Chili"
"Old Bay Seasoning","Cinnamon"
"Old Bay Seasoning","Cloves"
"Old Bay Seasoning","Ginger"
"Old Bay Seasoning","Nutmeg"
"Old Bay Seasoning","Pepper"
"Old Bay Seasoning","Pepper (Capsicum)"
"Old Bay Seasoning","Salt"
"Old Bay Seasoning","Sweet bay"
"Old Bay Seasoning","White mustard"
"Old Bay Seasoning","Wild celery"
"Pancetta","Domestic pig"
"Pancetta","Pepper"
"Pancetta","Salt"
"Panch Pharon Seed","Cumin"
"Panch Pharon Seed","Essential oil"
"Panch Pharon Seed","Fenugreek"
"Panch Pharon Seed","Plant"
"Perch","Pacific ocean perch"
"Perch","Pikeperch"
"Phyllo","Flour"
"Phyllo","Wheat"
"Pie Crust","Flour"
"Pie Crust","Wheat"
"Pita Bread","Pita bread"
"Pita Bread","White bread"
"Poultry Seasoning","Common sage"
"Poultry Seasoning","Common thyme"
"Poultry Seasoning","Nutmeg"
"Poultry Seasoning","Pepper"
"Poultry Seasoning","Rosemary"
"Poultry Seasoning","Sweet marjoram"
"Pout","Norway pout"
"Pout","Ocean pout"
"Prosciutto","Domestic pig"
"Puff Pastry","Butter"
"Puff Pastry","Flour"
"Puff Pastry","Wheat"
"Pulao Masala","Cardamom"
"Pulao Masala","Cinnamon"
"Pulao Masala","Cloves"
"Pulao Masala","Coriander"
"Pulao Masala","Cumin"
"Pulao Masala","Pepper (Capsicum)"
"Pulao Masala","Pepper (Spice)"
