"ID","NOME","TIPO"
"266","1,2-Diferuloylgentiobiose","Compound"
"269","1-Sinapoyl-2,2'-diferuloylgentiobiose","Compound"
"270","1,2,2'-Triferuloylgentiobiose","Compound"
"271","8-4'-Dehydrodiferulic acid","Compound"
"273","5-8'-Benzofuran dehydrodiferulic acid","Compound"
"275","Cis-5-Caffeoylquinic acid","Compound"
"276","3,4-Diferuloylquinic acid","Compound"
"277","3,5-Diferuloylquinic acid","Compound"
"279","Dicaffeoylquinic acid","Compound"
"283","Avenanthramide 2p","Compound"
"284","Avenanthramide 2c","Compound"
"285","Avenanthramide 2f","Compound"
"290","p-Coumaroyl glycolic acid","Compound"
"298","Caffeoyl aspartic acid","Compound"
"299","p-Coumaroyl aspartic acid","Compound"
"304","Avenanthramide K","Compound"
"307","24-Methylcholestanol ferulate","Compound"
"308","24-Methylcholesterol ferulate","Compound"
"309","24-Methyllathosterol ferulate","Compound"
"312","Schottenol 3-ferulate","Compound"
"313","24-Methylenecholestanol ferulate","Compound"
"316","3,4-Dihydroxyphenylacetic acid","Compound"
"317","Homoveratric acid","Compound"
"318","Methoxyphenylacetic acid","Compound"
"319","delta-Viniferin","Compound"
"325","7-Hydroxymatairesinol","Compound"
"326","Isohydroxymatairesinol","Compound"
"327","Secoisolariciresinol-sesquilignan","Compound"
"328","Cyclolariciresinol","Compound"
"329","7-Oxomatairesinol","Compound"
"330","Todolactol A","Compound"
"331","Conidendrin","Compound"
"332","7-Hydroxysecoisolariciresinol","Compound"
"333","Lariciresinol-sesquilignan","Compound"
"334","Episesaminol","Compound"
"336","4-Vinylsyringol","Compound"
"337","Mellein","Compound"
"338","2-Methoxy-5-prop-1-enylphenol","Compound"
"340","1,4-Naphtoquinone","Compound"
"341","5,5',6,6'-Tetrahydroxy-3,3'-biindolyl","Compound"
"344","Hydroxytyrosol acetate","Compound"
"345","p-HPEA-AC","Compound"
"346","3,4-DHPEA-EA","Compound"
"349","p-HPEA-EDA","Compound"
"350","p-HPEA-EA","Compound"
"351","Oleuropein-aglycone","Compound"
"352","Ligstroside-aglycone","Compound"
"355","5-Pentacosenylresorcinol","Compound"
"356","5-Tricosenylresorcinol","Compound"
"357","3-Methylcatechol","Compound"
"358","4-Ethylphenol","Compound"
"359","3'-Methoxyacetophenone","Compound"
"361","Nuatigenin","Compound"
"362","Estradiol","Compound"
"366","Dioscin","Compound"
"367","Collettiside I","Compound"
"369","Yamogenin","Compound"
"370","Ophiopogonin C'","Compound"
"371","Erythritol","Compound"
"372","Canescein","Compound"
"373","Prenyl acetate","Compound"
"374","Phytic acid","Compound"
"375","Asparagoside B","Compound"
"376","6-Hydroxykaempferol","Compound"
"377","(3beta,5alpha)-Ergosta-7,23-dien-3-ol","Compound"
"379","L-Malic acid caffeate","Compound"
"380","1-Methoxyphaseollidin","Compound"
"381","(3beta,5alpha,6alpha)-Cholest-8-ene-3,6-diol","Compound"
"396","Mucronine D","Compound"
"397","Nummularine A","Compound"
"398","Oxoglaucine","Compound"
"404","beta1-Tomatidine","Compound"
"405","Blepharin","Compound"
"406","Murrayenol","Compound"
"408","Geranyl apiosyl-glucoside","Compound"
"410","Geranyl rhamnosyl-glucoside","Compound"
"411","Geranyl 3-methylbutanoate","Compound"
"412","Geranyl hexanoate","Compound"
"413","Neryl glucoside","Compound"
"414","Neryl arabinofuranosyl-glucoside","Compound"
"418","Galactosyl 4-hydroxyproline","Compound"
"419","4-Hydroxyproline galactoside","Compound"
"420","N-Phenylacetylaspartic acid","Compound"
"422","Betavulgaroside I","Compound"
"423","5Z-Octenyl acetate","Compound"
"424","(R)-1,3-Octanediol","Compound"
"427","(R)-1-O-b-D-glucopyranosyl-1,3-octanediol","Compound"
"429","Salsolinol","Compound"
"430","(S)-Salsolinol","Compound"
"432","Moupinamide","Compound"
"435","N-Methyltyramine","Compound"
"439","O-Methylcorypalline","Compound"
"440","alpha-Solanigrine","Compound"
"441","gamma2-Solamarine","Compound"
"442","2'-Hydroxydaidzein","Compound"
"443","Solacauline","Compound"
"444","(E,E)-Trichostachine","Compound"
"445","L-Tyrosine ethyl ester hydrochloride","Compound"
"446","L-Tyrosine","Compound"
"447","Papaverine","Compound"
"449","Piperine","Compound"
"450","Chavicine","Compound"
"451","Isochavicine","Compound"
"452","Isopiperine","Compound"
"453","Theophylline","Compound"
"455","Theobromine","Compound"
"460","Chlorogenoquinone","Compound"
"461","L-Saccharopine","Compound"
"463","L-Stachydrine","Compound"
"467","Isodesmosine","Compound"
"468","L-3-Aminodihydro-2(3H)-furanone","Compound"
"474","L-Lysine","Compound"
"475","L-Lysine hydrochloride","Compound"
"476","N6-Acetyl-L-lysine","Compound"
"477","1-(3,4-Dimethoxyphenyl)ethanone","Compound"
"479","gamma-L-Glutamyl-S-(2-carboxy-1-propyl)cysteinylglycine","Compound"
"480","Homoglutathione","Compound"
"482","N-gamma-L-Glutamyl-L-isoleucine","Compound"
"483","N-gamma-L-Glutamyl-L-valine","Compound"
"484","Glycine","Compound"
"488","Ochratoxin A","Compound"
"491","L-2-Amino-3-(oxalylamino)propanoic acid","Compound"
"493","(S)-a-Amino-2,5-dihydro-5-oxo-4-isoxazolepropanoic acid N2-glucoside","Compound"
"494","Neobetanin","Compound"
"495","Amaranthin","Compound"
"496","Betanidin","Compound"
"497","Betanin","Compound"
"499","2-Acetyl-3-ethylpyrazine","Compound"
"500","Prebetanin","Compound"
"501","Isobetanidin","Compound"
"504","L-2-Amino-4-(aminooxy)butanoic acid","Compound"
"505","L-Canavanine","Compound"
"508","NG,NG-Dimethyl-L-arginine","Compound"
"509","NG,N'G-Dimethyl-L-arginine","Compound"
"512","Cycloalliin","Compound"
"514","Syringic acid","Compound"
"515","Thaumatin","Compound"
"516","Desmosine","Compound"
"518","(3b,4b,5a,24Z)-4-Methylstigmasta-7,24(28)-dien-3-ol","Compound"
"520","L-Histidine trimethylbetaine","Compound"
"521","Homoserine","Compound"
"522","L-Homoserine","Compound"
"523","O-Acetylhomoserine","Compound"
"524","L-4-Hydroxyglutamine","Compound"
"525","L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid","Compound"
"529","L-Hypoglycin A","Compound"
"530","Hypoglycin B","Compound"
"534","S-Methylcysteine sulfoxide","Compound"
"537","L-4-Methylene-2-pyrrolidinecarboxylic acid","Compound"
"538","(±)-4-Methylene-2-pyrrolidinecarboxylic acid","Compound"
"540","Lysozyme","Compound"
"545","Pipecolic acid","Compound"
"546","L-Pipecolic acid","Compound"
"547","Deoxyalliin","Compound"
"549","Isoalliin","Compound"
"550","S-Propylcysteine sulfoxide","Compound"
"551","(R)C(R)S-S-Propylcysteine sulfoxide","Compound"
"552","(R)C(S)S-S-Propylcysteine sulfoxide","Compound"
"556","L-Alanine","Compound"
"557","(±)-Alanine","Compound"
"558","Alliin","Compound"
"561","2-Amino-4-hydroxy-3-methylpentanoic acid","Compound"
"562","(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid","Compound"
"565","alpha-Tocopherol","Compound"
"567","L-DOPA","Compound"
"568","L-DOPA 3'-glucoside","Compound"
"569","Aspartame","Compound"
"570","L-Proline","Compound"
"571","Carnitine","Compound"
"572","L-carnitine","Compound"
"574","Pyridoxine","Compound"
"575","Pyridoxine hydrochloride","Compound"
"578","Xanthotoxol","Compound"
"579","Oryzarol","Compound"
"586","Erosnin","Compound"
"588","Eugenitin","Compound"
"589","Dolichin B","Compound"
"590","Dolichin A","Compound"
"591","Eupatilin","Compound"
"592","Isodillapiole","Compound"
"595","Isoeugenitin","Compound"
"600","Isolimocitrol","Compound"
"601","Isomangiferin","Compound"
"602","Isoorientin 2''-glucoside","Compound"
"603","Isorhamnetin 3-dirhamnoside","Compound"
"604","Isorhamnetin","Compound"
"605","Isorhamnetin 3-galactoside","Compound"
"606","Isorhamnetin 7-glucoside","Compound"
"607","Isorhamnetin 3-sophoroside 7-glucoside","Compound"
"608","Isorhamnetin 7-rhamnoside","Compound"
"609","Isorhamnetin 3-rutinoside","Compound"
"610","Isosakuranetin","Compound"
"611","Isosakuranetin 7-glucoside","Compound"
"612","Didymin","Compound"
"613","Isotheaflavin","Compound"
"614","Isovitexin","Compound"
"615","Isovitexin 2''-glucoside","Compound"
"620","Farnesiferol A","Compound"
"623","Isoferreirin","Compound"
"624","Fisetin","Compound"
"626","Formononetin 7-(6''-malonylglucoside)","Compound"
"628","Trigoforin","Compound"
"633","Kaempferol","Compound"
"634","Kaempferol 3-glucuronide","Compound"
"635","Kaempferol 7-rhamnofuranoside","Compound"
"636","Kaempferol 3-arabinoside","Compound"
"638","Cannithrene 2","Compound"
"642","Mulberrin","Compound"
"645","Garcinone B","Compound"
"646","Garcinone C","Compound"
"652","Limocitrin","Compound"
"653","Limocitrin 3-glucoside","Compound"
"655","Liquiritigenin","Compound"
"657","Galangin","Compound"
"658","3-Methylgalangin","Compound"
"661","Raffinose","Compound"
"662","Gallic acid","Compound"
"663","Methyl gallate","Compound"
"666","Sanguiin H6","Compound"
"668","Gemin D","Compound"
"669","6''-O-Acetylgenistin","Compound"
"670","6''-Malonylgenistin","Compound"
"678","(S)-Naringenin","Compound"
"679","Safflor Yellow A","Compound"
"680","Delphinidin 3-[6''-(4'''-p-coumaroylrhamnosyl)glucoside] 5-glucoside","Compound"
"682","Xenognosin A","Compound"
"683","Nobiletin","Compound"
"687","(-)-Ligballinol","Compound"
"689","Eriodictyol 7-glucoside","Compound"
"690","3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone","Compound"
"691","Pebrellin","Compound"
"693","Diosmetin 7-rutinoside","Compound"
"694","Eleutheroside B1","Compound"
"696","Isofraxidin","Compound"
"697","Amitenone","Compound"
"698","Glycitein","Compound"
"700","Undecanoic acid","Compound"
"701","Ethyl undecanoate","Compound"
"702","Carrotatoxin","Compound"
"704","Glycerol trieicosanoate","Compound"
"705","Glycerol 1,2-di-(9Z,12Z-octadecadienoate) 3-octadecanoate","Compound"
"707","Glycerol tribenzoate","Compound"
"708","Dihydroisophorol","Compound"
"709","(R)-Synephrine","Compound"
"710","Choline","Compound"
"711","Choline chloride","Compound"
"714","Pimpinellidine","Compound"
"716","N-gamma-L-Glutamyl-L-phenylalanine","Compound"
"717","N-gamma-L-Glutamyl-L-tyrosine","Compound"
